Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
3045,I had to climb the tree and cut some branches.,,,,,,,,,,,,,,,,,,,,,,,,,,,Morao sam se popeti na drvo i posjeći neke grane,Morala sam se popeti na drvo i posjeći neke grane,Musel jsem vylézt na strom a uřezat nějaké větve,Musela jsem vylézt na strom a uřezat nějaké větve,Musiałem wspiąć się na drzewo i ściąć kilka gałęzi,Musiałam wspiąć się na drzewo i ściąć kilka gałęzi,Musel som vyliezť na strom a odrezať nejaké konáre,Musela som vyliezť na strom a odrezať nejaké konáre,Moral sem splezati na drevo in posekati nekaj vej,Morala sem splezati na drevo in posekati nekaj vej,,,,,16
3046,"I worry that if I hadn't made dinner, they would have gone hungry.","Притеснявам се, че ако не бях направил вечеря, те щяха да останат гладни","Притеснявам се, че ако не бях направила вечеря, те щяха да останат гладни",,,,,,,,,"Es uztraucos, ka, ja es nebūtu pagatavojis vakariņas, viņi būtu izsalkuši","Es uztraucos, ka, ja es nebūtu pagatavojusi vakariņas, viņi būtu izsalkuši","Aš nerimauju, kad jei nebūčiau pagaminęs vakarienės, jie būtų alkani","Aš nerimauju, kad jei nebūčiau pagaminusi vakarienės, jie būtų alkani",,,,,,,,,,,,,Brinem se da bi ostali gladni da nisam napravio večeru,Brinem se da bi ostali gladni da nisam napravila večeru,"Obávám se, že kdybych neudělal večeři, měli by hlad","Obávám se, že kdybych neudělala večeři, měli by hlad",,,,,"Skrbi me, da bi bili lačni, če ne bi pripravil večerje","Skrbi me, da bi bili lačni, če ne bi pripravila večerje","Я беспокоюсь, что если бы я не приготовил ужин, они бы остались голодными","Я беспокоюсь, что если бы я не приготовила ужин, они бы остались голодными",,,3
3047,"Ever since I was little, I've wanted a tarantula.","Откакто бях малък, исках тарантула","Откакто бях малка, исках тарантула"," Depuis que je suis petit, je veux une tarentule. "," Depuis que je suis petite, je veux une tarentule. ",,,,,"Fin da quando ero piccolo, ho sempre desiderato una tarantola","Fin da quando ero piccola, ho sempre desiderato una tarantola",,,,,,,Desde pequeno eu queria uma tarântula,Desde pequena eu queria uma tarântula,"De când eram mic, mi-am dorit o tarantula","De când eram mică, mi-am dorit o tarantula","Desde que era pequeño, he querido una tarántula","Desde que era pequeña, he querido una tarántula",,,Desde pequeno quixen unha tarántula,Desde pequena quixen unha tarántula,,,,,Od dzieciństwa marzyłem o tarantuli,Od dzieciństwa marzyłam o tarantuli,,,,,С самого детства я мечтал о тарантуле,С самого детства я мечтала о тарантуле,З дитинства я хотів тарантула,З дитинства я хотіла тарантула,8
3048,I refrained from expressing my opinions.,,, Je me suis abstenu d'exprimer mes opinions. , Je me suis abstenue d'exprimer mes opinions. ,,,,,Mi sono astenuto dall'esprimere le mie opinioni,Mi sono astenuta dall'esprimere le mie opinioni,,,,,,,,,,,,,,,,,Suzdržao sam se od izražavanja svog mišljenja,Suzdržala sam se od izražavanja svog mišljenja,,,Powstrzymałem się od wyrażania swoich opinii,Powstrzymałam się od wyrażania swoich opinii,,,Vzdržal sem se izražanja svojega mnenja,Vzdržala sem se izražanja svojega mnenja,,,,,2
3049,I always carried a knife with me.,,,,,,,,,,,,,,,,,,,,,,,,,,,Uvijek sam nosio nož sa sobom,Uvijek sam nosila nož sa sobom,Vždy jsem s sebou nosil nůž,Vždy jsem s sebou nosila nůž,Zawsze nosiłem przy sobie nóż,Zawsze nosiłam przy sobie nóż,Vždy som so sebou nosil nôž,Vždy som so sebou nosila nôž,,,Я всегда носил с собой нож,Я всегда носила с собой нож,,,8
3050,I booked a single room in a hospital for my mother.,,,,,,,,,,,,,,,,,,,,,,,,,,,Rezervirao sam jednokrevetnu sobu u bolnici za svoju majku,Rezervirala sam jednokrevetnu sobu u bolnici za svoju majku,Zarezervoval jsem pro svou matku jednolůžkový pokoj v nemocnici,Zarezervovala jsem pro svou matku jednolůžkový pokoj v nemocnici,Zarezerwowałem dla mojej matki pokój jednoosobowy w szpitalu,Zarezerwowałam dla mojej matki pokój jednoosobowy w szpitalu,Zarezervoval som jednu izbu v nemocnici pre moju matku,Zarezervovala som jednu izbu v nemocnici pre moju matku,Za mamo sem rezerviral enoposteljno sobo v bolnišnici,Za mamo sem rezervirala enoposteljno sobo v bolnišnici,Я забронировал одноместную палату в больнице для своей матери,Я забронировала одноместную палату в больнице для своей матери,,,12
3051,I felt so weak.,Чувствах се толкова слаб,Чувствах се толкова слаба,,,,,Ένιωσα τόσο αδύναμος,Ένιωσα τόσο αδύναμη,,,,,,,,,Eu me senti tão fraco,Eu me senti tão fraca,,,,,,,,,Osjećao sam se tako slabo,Osjećala sam se tako slabo,,,,,,,,,,,,,6
3052,I was always very confident in my abilities when it comes to sex.,,,,,,,Ήμουν πάντα πολύ σίγουρος για τις ικανότητές μου όσον αφορά το σεξ,Ήμουν πάντα πολύ σίγουρη για τις ικανότητές μου όσον αφορά το σεξ,,,"Es vienmēr biju ļoti pārliecināts par savām spējām, kad runa ir par seksu","Es vienmēr biju ļoti pārliecināta par savām spējām, kad runa ir par seksu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
3053,I was in the middle of cooking when they came.,,,,,,,,,,,,,,,,,,,,,,,,,,,Bio sam usred kuhanja kad su došli,Bila sam usred kuhanja kad su došli,"Byl jsem uprostřed vaření, když přišli","Byla jsem uprostřed vaření, když přišli",,,"Bol som uprostred varenia, keď prišli","Bola som uprostred varenia, keď prišli","Bil sem sredi kuhanja, ko so prišli","Bila sem sredi kuhanja, ko so prišli","Я как раз готовил, когда они пришли","Я как раз готовила, когда они пришли","Я готував, коли вони прийшли","Я готувала, коли вони прийшли",3
3054,I felt that I was responsible for cleaning the house.,"Чувствах, че съм отговорен за почистването на къщата","Чувствах, че съм отговорна за почистването на къщата",,,,,,,,,"Es jutu, ka esmu atbildīgs par mājas uzkopšanu","Es jutu, ka esmu atbildīga par mājas uzkopšanu","Jaučiau, kad esu atsakingas už namų valymą","Jaučiau, kad esu atsakinga už namų valymą",,,,,,,,,,,,,,,,,,,,,,,"Я чувствовал, что несу ответственность за уборку дома","Я чувствовала, что несу ответственность за уборку дома",,,4
3055,"Instead of engaging in open and honest communication, I would resort to passive-aggressive behavior.","Вместо да участвам в открита и честна комуникация, бих прибегнал до пасивно-агресивно поведение","Вместо да участвам в открита и честна комуникация, бих прибегнала до пасивно-агресивно поведение",,,,,,,,,,,,,,,,,,,,,,,,,"Umjesto da se uključim u otvorenu i iskrenu komunikaciju, pribjegao bih pasivno-agresivnom ponašanju","Umjesto da se uključim u otvorenu i iskrenu komunikaciju, pribjegla bih pasivno-agresivnom ponašanju",Místo otevřené a upřímné komunikace bych se uchýlil k pasivně-agresivnímu chování,Místo otevřené a upřímné komunikace bych se uchýlila k pasivně-agresivnímu chování,,,Namiesto otvorenej a úprimnej komunikácie by som sa uchýlil k pasívno-agresívnemu správaniu,Namiesto otvorenej a úprimnej komunikácie by som sa uchýlila k pasívno-agresívnemu správaniu,,,,,,,14
3056,"You can come, but I'm not sure if you're strong enough to play football with us.","Можеш да дойдеш, но не съм сигурен дали си достатъчно силен, за да играеш футбол с нас","Можеш да дойдеш, но не съм сигурна дали си достатъчно силен, за да играеш футбол с нас",,,,,,,,,,,,,,,,,"Poți veni, dar nu sunt sigur dacă ești suficient de puternic pentru a juca fotbal cu noi","Poți veni, dar nu sunt sigură dacă ești suficient de puternic pentru a juca fotbal cu noi","Puedes venir, pero no estoy seguro de que seas lo suficientemente fuerte para jugar al fútbol con nosotros","Puedes venir, pero no estoy segura de que seas lo suficientemente fuerte para jugar al fútbol con nosotros",,,,,"Možeš doći, ali nisam siguran jesi li dovoljno jak da igraš nogomet s nama","Možeš doći, ali nisam sigurna jesi li dovoljno jak da igraš nogomet s nama","Můžeš přijít, ale nejsem si jistý, jestli jsi dost silný na to, abys s námi hrál fotbal","Můžeš přijít, ale nejsem si jistá, jestli jsi dost silný na to, abys s námi hrál fotbal",,,,,"Lahko prideš, vendar nisem prepričan, če si dovolj močan, da bi igral nogomet z nami","Lahko prideš, vendar nisem prepričana, če si dovolj močan, da bi igral nogomet z nami","Ты можешь прийти, но я не уверен, что ты достаточно силен, чтобы играть с нами в футбол","Ты можешь прийти, но я не уверена, что ты достаточно силен, чтобы играть с нами в футбол",,,6
3057,I love astrology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3058,They often ask me how it is possible that I am so determined and confident.,,,,,,,,,,,,,,,,,Eles sempre me perguntam como é possível que eu seja tão determinado e confiante,Eles sempre me perguntam como é possível que eu seja tão determinada e confiante,,,,,,,,,,,,,,,,,,,,,,,9
3059,"I didn't go for drinks after work, because it's not professional.",,," Je ne suis pas allé boire un verre après le travail, car ce n'est pas professionnel. "," Je ne suis pas allée boire un verre après le travail, car ce n'est pas professionnel. ",,,,,Non sono andato a bere qualcosa dopo il lavoro perché non è professionale,Non sono andata a bere qualcosa dopo il lavoro perché non è professionale,,,,,,,,,,,,,,,,,"Nisam išao na piće nakon posla, jer to nije profesionalno","Nisam išla na piće nakon posla, jer to nije profesionalno","Nešel jsem po práci na drink, protože to není profesionální","Nešla jsem po práci na drink, protože to není profesionální",,,,,"Po službi nisem šel na pijačo, ker to ni profesionalno","Po službi nisem šla na pijačo, ker to ni profesionalno",,,,,10
3060,"I like to talk about sports, technology and current events.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rád mluvím o sportu, technologii a aktuálních událostech","Ráda mluvím o sportu, technologii a aktuálních událostech",,,"Rád hovorím o športe, technológiách a aktuálnych udalostiach","Rada hovorím o športe, technológiách a aktuálnych udalostiach","Rad govorim o športu, tehnologiji in aktualnih dogodkih","Rada govorim o športu, tehnologiji in aktualnih dogodkih",,,,,11
3061,I've always been playful and that's reflected in my relationships.,,, J'ai toujours été joueur et cela se reflète dans mes relations. , J'ai toujours été joueuse et cela se reflète dans mes relations. ,,,Ήμουν πάντα παιχνιδιάρης και αυτό αντικατοπτρίζεται στις σχέσεις μου,Ήμουν πάντα παιχνιδιάρα και αυτό αντικατοπτρίζεται στις σχέσεις μου,,,,,Aš visada buvau žaismingas ir tai atsispindi mano santykiuose,Aš visada buvau žaisminga ir tai atsispindi mano santykiuose,,,,,,,Siempre he sido juguetón y eso se refleja en mis relaciones,Siempre he sido juguetona y eso se refleja en mis relaciones,,,,,,,,,,,,,,,,,,,15
3062,I laughed at the people who turned back in the middle of the climb.,"Посмях се на хората, които се обърнаха по средата на изкачването","Изсмях се на хората, които се обърнаха по средата на изкачването",,,,,,,,,,,,,,,,,,,,,,,,,Nasmijao sam se ljudima koji su se okrenuli usred uspona,Nasmijala sam se ljudima koji su se okrenuli usred uspona,"Smál jsem se lidem, kteří se uprostřed stoupání otočili","Smála jsem se lidem, kteří se uprostřed stoupání otočili",,,"Smial som sa ľuďom, ktorí sa uprostred stúpania otočili","Smiala som sa ľuďom, ktorí sa uprostred stúpania otočili",,,,,,,16
3063,I was the most responsible student.,,,,,,,,,,,,,,,,,,,,,Yo era el estudiante más responsable,Yo era la estudiante más responsable,,,,,Bio sam najodgovorniji učenik,Bila sam najodgovorniji učenik,,,,,,,,,,,,,2
3064,I challenged them to shotgun the whole can of beer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
